country_code,region_name,iata,icao,airport,latitude,longitude
LA,Attapu,AOU,VLAP,Attapeu International Airport,14.79,107.04
LA,Louang Namtha,LXG,VLLN,Louang Namtha Airport,20.96,101.4
LA,Xiangkhouang,XKH,VLXK,Xieng Khouang Airport,19.44,103.17
LA,Viangchan,VTE,VLVT,Wattay International Airport,17.99,102.56
LA,Bokeo,HOE,VLHS,Ban Huoeisay Airport,20.26,100.44
LA,Champasak,PKZ,VLPS,Pakse International Airport,15.13,105.78
LA,Oudomxai,ODY,VLOS,Oudomsay Airport,20.68,101.99
LA,Champasak,KOG,VLKG,Khong Island Airport,17.99,102.56
LA,Louangphabang,LPQ,VLLB,Luang Prabang International Airport,19.9,102.16
LA,Khammouan,THK,VLTK,Thakhek Airport,17.4,104.8
LA,Xaignabouli,ZBY,VLSB,Sayaboury Airport,19.24,101.71
LA,Salavan,VNA,VLSV,Salavan Airport,15.71,106.41
LA,Phongsali,PCQ,,Boun Neua Airport,21.65,101.9
LA,Houaphan,NEU,VLSN,Nathong Airport,20.42,104.07
LA,Savannakhet,ZVK,VLSK,Savannakhet Airport,16.56,104.76
LB,Beyrouth,BEY,OLBA,Beirut-Rafic Hariri International Airport / Beirut Air Base,33.82,35.49
LB,Nabatiye,KYE,OLKA,Rene Mouawad Air Base (Kleyate Airport),34.59,36.01
LC,Castries,SFG,TFFG,L'Esperance Airport (Grand Case Airport),18.1,-63.05
LC,Castries,SLU,TLPC,George F. L. Charles Airport,14.02,-60.99
LC,Laborie,UVF,TLPL,Hewanorra International Airport,13.73,-60.95
LK,Southern Province,BJT,,Bentota River Airport,6.43,80.0
LK,Central Province,KDW,,Victoria Reservoir Seaplane Base,7.24,80.78
LK,North Central Province,HIM,VCCH,Hingurakgoda Airport (Minneriya Airport),8.05,80.98
LK,Southern Province,WRZ,VCCW,Weerawila Airport,6.25,81.24
LK,Northern Province,DBK,,Dutch Bay Seaplane Base,8.27,79.76
LK,Southern Province,KCT,VCCK,Koggala Airport,5.99,80.32
LK,Eastern Province,AFK,,Kondavattavan Tank Seaplane Base,7.28,81.64
LK,Western Province,DWO,,Diyawanna Oya Seaplane Base,6.91,79.91
LK,Northern Province,JAF,VCCJ,Jaffna Airport,9.79,80.07
